Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.03376E-3,28.795538973,0.058873496,0.01029794,0,0
1.04097E-3,29.003127712,0.059271725,0.01009798,0,0
1.05066E-3,29.317218349,0.059806602,0.00979804,0,0
1.05634E-3,29.528048054,0.060120035,0.00959808,0,0
1.0943E-3,29.850665519,0.062211833,0.00929814,0,0
1.11242E-3,30.072373114,0.063208742,0.00909818,0,0
1.11552E-3,30.295286884,0.063378866,0.00889822,0,0
1.13153E-3,30.520885352,0.064258567,0.00869826,0,0
1.15395E-3,30.750081829,0.065489073,0.0084983,0,0
1.18299E-3,31.10438903,0.067080673,0.00819836,0,0
1.19995E-3,31.343888829,0.068008887,0.0079984,0,0
1.22593E-3,31.586788333,0.069429138,0.00779844,0,0
1.26294E-3,31.836932876,0.071448326,0.00759848,0,0
1.27312E-3,32.091261956,0.072002961,0.00739852,0,0
1.2769E-3,32.346337684,0.072209317,0.00719856,0,0
1.28356E-3,32.60293866,0.072571815,0.0069986,0,0
1.30667E-3,32.864075768,0.073828656,0.00679864,0,0
1.3158E-3,33.126588959,0.074325021,0.00659868,0,0
1.32365E-3,33.258953933,0.074751456,0.0064987,0,0
1.3461E-3,33.526544988,0.075969634,0.00629874,0,0
1.35162E-3,33.796644192,0.076269082,0.00609878,0,0
1.36728E-3,34.069492476,0.077117732,0.00589882,0,0
1.4073E-3,34.348363834,0.079283395,0.00569886,0,0
1.40895E-3,34.63007028,0.079372514,0.0054989,0,0
1.41022E-3,34.771091802,0.079440761,0.00539892,0,0
1.43956E-3,35.058687032,0.081024994,0.00519896,0,0
1.51704E-3,35.355469295,0.085194993,0.004999,0,0
1.52858E-3,35.508327328,0.085814228,0.00489902,0,0
1.55572E-3,35.817784161,0.087269245,0.00469906,0,0
1.58807E-3,36.135313055,0.089000834,0.0044991,0,0
1.60899E-3,36.296212505,0.090119006,0.00439912,0,0
